Designator,Mid X,Mid Y,Rotation,Layer
C1,124.618967,-117.475191,270.0,bottom
C10,220.941875,-132.552372,135.0,bottom
C11,217.37,-132.949247,45.0,bottom
C12,253.12366,-119.459572,180.0,bottom
C13,216.694192,-127.397092,315.0,bottom
C14,224.234836,-116.284564,225.0,bottom
C15,217.487942,-128.190842,315.0,bottom
C16,225.028588,-122.237704,180.0,bottom
C2,130.175217,-117.475191,90.0,bottom
C3,131.762717,-117.078316,90.0,bottom
C4,213.519184,-115.093939,0.0,bottom
C5,218.726719,-114.252037,45.0,bottom
C6,213.51875,-117.475001,0.0,bottom
C7,213.519184,-116.284564,0.0,bottom
C8,217.88482,-115.093936,45.0,bottom
C9,213.51875,-122.634375,0.0,bottom
D1,88.265,-133.985,90.0,bottom
D10,264.4775,-133.985,90.0,bottom
D11,88.265,-157.7975,90.0,bottom
D12,107.315,-157.7975,90.0,bottom
D13,126.365,-157.7975,90.0,bottom
D14,145.415,-157.7975,90.0,bottom
D15,164.465,-157.7975,90.0,bottom
D16,183.515,-157.7975,90.0,bottom
D17,202.565,-157.7975,90.0,bottom
D18,226.3775,-153.035,90.0,bottom
D19,245.4275,-153.035,90.0,bottom
D2,107.315,-133.985,90.0,bottom
D20,264.4775,-153.035,90.0,bottom
D21,88.265,-176.8475,90.0,bottom
D22,107.315,-176.8475,90.0,bottom
D23,126.365,-176.8475,90.0,bottom
D24,145.415,-176.8475,90.0,bottom
D25,164.465,-176.8475,90.0,bottom
D26,183.515,-176.8475,90.0,bottom
D27,202.565,-176.8475,90.0,bottom
D28,226.3775,-176.8475,90.0,bottom
D29,245.4275,-176.8475,90.0,bottom
D3,126.365,-133.985,90.0,bottom
D30,264.4775,-176.8475,90.0,bottom
D31,88.265,-195.8975,90.0,bottom
D32,107.315,-195.8975,90.0,bottom
D33,126.365,-195.8975,90.0,bottom
D34,145.415,-195.8975,90.0,bottom
D35,164.465,-195.8975,90.0,bottom
D36,183.515,-195.8975,90.0,bottom
D37,202.565,-195.8975,90.0,bottom
D38,226.3775,-195.8975,90.0,bottom
D39,245.4275,-195.8975,90.0,bottom
D4,145.415,-133.985,90.0,bottom
D40,264.4775,-195.8975,90.0,bottom
D5,164.465,-133.985,90.0,bottom
D6,183.515,-133.985,90.0,bottom
D7,202.565,-133.985,90.0,bottom
D8,226.3775,-133.985,90.0,bottom
D9,245.4275,-133.985,90.0,bottom
F1,119.459572,-117.475192,180.0,bottom
J1,111.125,-113.50625,180.0,bottom
J3,155.495932,-113.903308,270.0,bottom
MX1,92.075,-130.175,0.0,bottom
MX10,268.2875,-130.175,0.0,bottom
MX11,92.075,-153.9875,0.0,bottom
MX12,111.125,-153.9875,0.0,bottom
MX13,130.175,-153.9875,0.0,bottom
MX14,149.225,-153.9875,0.0,bottom
MX15,168.275,-153.9875,0.0,bottom
MX16,187.325,-153.9875,0.0,bottom
MX17,206.375,-153.9875,0.0,bottom
MX18,230.1875,-149.225,0.0,bottom
MX19,249.2375,-149.225,0.0,bottom
MX2,111.125,-130.175,0.0,bottom
MX20,268.2875,-149.225,0.0,bottom
MX21,92.075,-173.0375,0.0,bottom
MX22,111.125,-173.0375,0.0,bottom
MX23,130.175,-173.0375,0.0,bottom
MX24,149.225,-173.0375,0.0,bottom
MX25,168.275,-173.0375,0.0,bottom
MX26,187.325,-173.0375,0.0,bottom
MX27,206.375,-173.0375,0.0,bottom
MX28,230.1875,-173.0375,0.0,bottom
MX29,249.2375,-173.0375,0.0,bottom
MX3,130.175,-130.175,0.0,bottom
MX30,268.2875,-173.0375,0.0,bottom
MX31,92.075,-192.0875,0.0,bottom
MX32,111.125,-192.0875,0.0,bottom
MX33,130.175,-192.0875,0.0,bottom
MX34,149.225,-192.0875,0.0,bottom
MX35,168.275,-192.0875,0.0,bottom
MX36,187.325,-192.0875,0.0,bottom
MX37,206.375,-192.0875,0.0,bottom
MX38,230.1875,-192.0875,0.0,bottom
MX39,249.2375,-192.0875,0.0,bottom
MX4,149.225,-130.175,0.0,bottom
MX40,268.2875,-192.0875,0.0,bottom
MX5,168.275,-130.175,0.0,bottom
MX6,187.325,-130.175,0.0,bottom
MX7,206.375,-130.175,0.0,bottom
MX8,230.1875,-130.175,0.0,bottom
MX9,249.2375,-130.175,0.0,bottom
R1,113.50625,-119.85625,180.0,bottom
R2,109.140625,-119.85625,0.0,bottom
R3,155.178412,-117.872068,90.0,bottom
R4,211.534804,-113.109556,180.0,bottom
R5,211.534804,-114.300181,180.0,bottom
R6,217.766875,-129.377372,135.0,bottom
R7,259.159924,-115.887688,180.0,bottom
R8,259.159924,-117.078316,180.0,bottom
R9,259.15991,-118.268944,0.0,bottom
SW_BOOT1,268.288072,-115.8875,0.0,bottom
SW_RESET1,149.225,-115.8875,0.0,bottom
U1,218.878125,-120.85,0.0,bottom
U2,127.397092,-117.078316,0.0,bottom
U4,249.238024,-115.887688,180.0,bottom
Y1,219.354375,-130.964872,135.0,bottom
